0055-CPC-GGC-4.1.3.11.121-TM5-ID-A-0013;1-11-HWSM-007-03/1-11-HWSM-007-04;1-110;150.0;CPECC-CC-38515/1 BD;CPECC-CC-39183 BD;
0055-CPC-GGC-4.1.3.11.121-TM5-ID-A-0014;1-11-HWSM-008-03/1-11-HWSM-008-04;1-110;164.0;CPECC-CC-38516/1 BD;CPECC-CC-39250 BD;
0055-CPC-GGC-4.1.3.11.121-TM5-ID-A-0015;1-11-HWSM-009-03/1-11-HWSM-009-04;1-110;58.0;CPECC-CC-41470 BD;CPECC-CC-41656 BD;
0055-CPC-GGC-4.1.3.11.121-TM5-ID-A-0016;1-11-HWSM-010-05/1-11-HWSM-010-06;1-110;174.0;CPECC-CC-41300 BD;CPECC-CC-41819 BD;
0055-CPC-GGC-4.1.3.11.121-TM5-ID-A-0017;1-11-HWSM-010-09/1-11-HWSM-010-10;1-110;174.0;CPECC-CC-41301 BD;CPECC-CC-42032 BD;
0055-CPC-GGC-4.1.3.11.121-TM5-ID-A-0018;1-11-HWSM-010-08;1-110;62.0;CPECC-CC-41385 BD;CPECC-CC-42030 BD;
0055-CPC-GGC-4.1.3.11.121-TM5-ID-A-0019;1-11-HWSM-012-03/1-11-HWSM-012-04;1-110;134.0;CPECC-CC-39429 BD;CPECC-CC-39662 BD;
0055-CPC-GGC-4.1.3.11.121-TM5-ID-A-0020;1-11-HWSM-010-07;1-110;72.0;CPECC-CC-41538 BD;CPECC-CC-42170 BD;
0055-CPC-GGC-4.1.3.11.121-TM5-ID-A-0021;1-11-HWSM-012-07/1-11-HWSM-012-08;1-110;154.0;CPECC-CC-41210 BD;CPECC-CC-42512 BD;
0055-CPC-GGC-4.1.3.11.121-TM5-ID-A-0022;1-11-HWSM-012-05;1-110;69.0;CPECC-CC-41383 BD;CPECC-CC-42171 BD;
0055-CPC-GGC-4.1.3.11.121-TM5-ID-A-0023;1-11-HWSM-013-07/1-11-HWSM-013-08;1-110;180.0;CPECC-CC-41541 BD;CPECC-CC-41820 BD;
0055-CPC-GGC-4.1.3.30.125-TM4-ID-A-0001;1-30-STSM-019-01;1-30;24.0;CPECC-CC-53350 BD;CPECC-CC-54206/1 BD;
0055-CPC-GGC-4.1.3.30.125-TM4-ID-A-0005;1-30-STSM-019-01;1-30;14.0;CPECC-CC-53350 BD;CPECC-CC-54206/1 BD;
0055-CPC-GGC-4.1.3.30.125-TM4-ID-A-0050;1-30-STSM-019-01;1-30;24.0;CPECC-CC-53350 BD;CPECC-CC-54206/1 BD;
0055-CPC-GGC-4.1.3.30.134-TM4-ID-A-0062;1-30-STSM-030-02;1-30;63.0;CPECC-CC-53504 BD;CPECC-CC-54208/1 BD;
0055-CPC-GGC-4.1.3.30.136-TM5-ID-A-0002;1-70-HWSM-001-01;1-30;203.0;CPECC-CC-50490 BD;CPECC-CC-53251 BD;
0055-CPC-GGC-4.1.3.30.136-TM5-ID-A-0003;1-70-HWSM-001-02;1-30;244.0;CPECC-CC-50491 BD;CPECC-CC-53252 BD;
